dataset_id,review_scope,logical_families,physical_member_count,observations,main_baseline_crosswalk,main_dataset_or_similar_visible,jkobject_dataset_visible,branch_disposition,duplicate_newness_status,strict_obs_validated,strict_var_validated,chunks_or_structure_validated,cleaning_validated,lamin_registered,in_versioned_collection,entirely_validated,entirely_validated_main_existing_dataset,entirely_validated_jkobject_addition,missing_requirements,next_review_focus,source_completion_state,evidence
geo/GSE182308,strict_real_dataset_curation_70,"[""prism_collection/GSE182308""]",19,94962,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE190604,strict_real_dataset_curation_70,"[""prism_collection/GSE190604""]",1,103805,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE195510,strict_real_dataset_curation_70,"[""prism_collection/GSE195510""]",1,140709,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE196142,strict_real_dataset_curation_70,"[""prism_collection/GSE196142""]",1,13220,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE197452,strict_real_dataset_curation_70,"[""prism_collection/GSE197452_Perturb-seq""]",1,20811,False,False,True,jkobject_addition_no_main_match_in_available_evidence,no_main_match_in_available_evidence,True,True,True,True,True,True,True,False,True,,complete,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE203592,strict_real_dataset_curation_70,"[""prism_collection/GSE203592""]",1,70646,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE205310,strict_real_dataset_curation_70,"[""prism_collection/GSE205310""]",1,124963,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE206107,strict_real_dataset_curation_70,"[""prism_collection/GSE206107""]",1,51055,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE207360,strict_real_dataset_curation_70,"[""prism_collection/GSE207360""]",1,12487,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE212396,strict_real_dataset_curation_70,"[""prism_collection/GSE212396""]",21,103155,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE213511,strict_real_dataset_curation_70,"[""prism_collection/GSE213511""]",37,181177,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE213921,strict_real_dataset_curation_70,"[""prism_collection/GSE213921""]",1,9797,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE214844,strict_real_dataset_curation_70,"[""prism_collection/GSE214844""]",13,12487,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE215253,strict_real_dataset_curation_70,"[""prism_collection/GSE215253""]",75,370636,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE216673,strict_real_dataset_curation_70,"[""prism_collection/GSE216673""]",12,55156,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE217812,strict_real_dataset_curation_70,"[""prism_collection/GSE217812""]",1,29889,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE219317,strict_real_dataset_curation_70,"[""prism_collection/GSE219317""]",96,95279,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE220974,strict_real_dataset_curation_70,"[""prism_collection/GSE220974""]",5,24661,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE221321,strict_real_dataset_curation_70,"[""prism_collection/GSE221321""]",43,210131,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE221882,strict_real_dataset_curation_70,"[""prism_collection/GSE221882""]",1,25241,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE225775,strict_real_dataset_curation_70,"[""prism_collection/GSE225775""]",272,1356998,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE225807,strict_real_dataset_curation_70,"[""prism_collection/GSE225807""]",4,17424,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE229505,strict_real_dataset_curation_70,"[""prism_collection/GSE229505""]",26,126495,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE236304,strict_real_dataset_curation_70,"[""prism_collection/GSE236304""]",1,25220,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE250378,strict_real_dataset_curation_70,"[""prism_collection/GSE250378""]",1,141290,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE261283,strict_real_dataset_curation_70,"[""prism_collection/GSE261283""]",1,33038,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE263747,strict_real_dataset_curation_70,"[""prism_collection/GSE263747""]",1,44178,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
ginkgo/vcpi,strict_real_dataset_curation_70,"[""ginkgo-datapoints/vcpi""]",1,11808,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,True,False,False,False,True,True,False,False,False,var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,var_validation_or_NA_disposition,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
lincs/phase1,strict_real_dataset_curation_70,"[""lincs/phase1/Level2_GEX_delta_n49216x978"",""lincs/phase1/Level2_GEX_epsilon_n1269922x978""]",2,1319138,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
lincs/phase2,strict_real_dataset_curation_70,"[""lincs/phase2/Level2_GEX_all_n537590x978""]",1,537590,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,True,False,False,False,True,True,False,False,False,var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,var_validation_or_NA_disposition,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
SchiebingerLander2019,strict_real_dataset_curation_70,"[""SchiebingerLander2019""]",1,327494,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,True,True,True,True,True,True,True,True,False,,complete,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/adamson16,strict_real_dataset_curation_70,"[""scperturb/adamson16_GSM2406675_10X001"",""scperturb/adamson16_GSM2406677_10X005"",""scperturb/adamson16_GSM2406681_10X010""]",3,86111,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,True,True,True,True,True,True,True,True,False,,complete,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/aissa21,strict_real_dataset_curation_70,"[""scperturb/aissa21""]",1,119071,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/chang22,strict_real_dataset_curation_70,"[""scperturb/chang22""]",1,42277,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,True,True,True,True,True,True,True,True,False,,complete,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/datlinger17,strict_real_dataset_curation_70,"[""scperturb/datlinger17""]",1,5905,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,True,True,True,True,True,True,True,True,False,,complete,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/datlinger21,strict_real_dataset_curation_70,"[""scperturb/datlinger21""]",1,39194,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/dixit16,strict_real_dataset_curation_70,"[""prism_collection/GSE90063_mouse"",""scperturb/dixit16_K562_TFs_13_days"",""scperturb/dixit16_K562_TFs_7_days"",""scperturb/dixit16_K562_TFs_High_MOI""]",4,170019,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/frangieh21,strict_real_dataset_curation_70,"[""scperturb/frangieh21""]",1,218331,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/gehring-pachter-2019,strict_real_dataset_curation_70,"[""scperturb/records/13350497/files/GehringPachter2019""]",1,20382,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/mcfarland20,strict_real_dataset_curation_70,"[""scperturb/mcfarland20""]",1,182875,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/nadig24,strict_real_dataset_curation_70,"[""prism_collection/GSE264667"",""scperturb/nadig24_hepg2"",""scperturb/nadig24_jurkat""]",84,816858,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/norman19,strict_real_dataset_curation_70,"[""prism_collection/GSE133344"",""scperturb/norman19""]",2,222890,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
scperturb/papalexi21,strict_real_dataset_curation_70,"[""papalexi_eccite_merged"",""prism_collection/GSE153056"",""scperturb/papalexi21_eccite_RNA"",""scperturb/papalexi21_eccite_arrayed_RNA""]",4,80155,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
